File,z_observed,z_model,delta_z,Distance_Mpc,Tau_s,Age_ΛCDM_Gyr,Age_Model_Gyr
jw01287001001_13101_00001_nrs2_s2d.fits,41.991410744817635,41.94141074481764,0.04999999999999999,515743.66079170106,2.6523644198354e+18,0.06034081757134492,0.06044727654620528
jw01287001003_11101_00002_nrs1_x1d.fits,38.03259964365708,37.98259964365708,0.05,463596.3647138123,2.3841815157638436e+18,0.06984502927346861,0.06998066041543355
jw01287001003_11101_00002_nrs2_s2d.fits,36.28401504064861,36.234015040648615,0.049999999999999996,440641.1238477056,2.2661273955667105e+18,0.07486103730416392,0.07501318102518699
jw01287001001_15101_00003_nrs2_x1d.fits,42.24042091244146,42.19042091244146,0.05000000000000001,519031.33184139157,2.6692722412576476e+18,0.059815218641518036,0.05992014720892717
jw01287001001_13101_00001_nrs1_x1d.fits,41.66334207434403,41.61334207434403,0.05,511413.49606929056,2.630095266155222e+18,0.061045045373249396,0.06115356870139882
jw01287001001_13101_00002_nrs2_s2d.fits,36.682938732598956,36.63293873259896,0.05,445873.65581328975,2.2930372398677773e+18,0.07366524018762226,0.07381337881670519
jw01287001003_11101_00001_nrs1_x1d.fits,40.67475198444566,40.624751984445666,0.05,498374.33003175067,2.5630374956162545e+18,0.06325152423195732,0.06336661745469181
jw01287001003_17101_00003_nrs2_x1d.fits,40.81417979692157,40.764179796921574,0.05000000000000002,500212.487237213,2.5724907630831754e+18,0.06293240055181815,0.06304653405796744
jw01287001001_17101_00002_nrs1_x1d.fits,40.778491515862314,40.728491515862316,0.05,499741.9612575941,2.5700709439718093e+18,0.0630138301626605,0.06312820825157026
jw01287001003_15101_00001_nrs2_s2d.fits,36.28239551970833,36.232395519708334,0.05,440619.88674744853,2.2660181774931118e+18,0.0748659572945144,0.07501811758208449
jw01287001003_13101_00003_nrs1_s2d.fits,40.354714255583914,40.30471425558392,0.05000000000000001,494156.1582597271,2.5413442988299003e+18,0.0639942411655966,0.06411158038704645
jw01287001003_15101_00002_nrs1_x1d.fits,40.92876188378585,40.878761883785856,0.05,501723.2992477914,2.580260561001324e+18,0.06267213290514445,0.06278548606976271
jw01287001001_11101_00003_nrs1_s2d.fits,40.523148354731106,40.47314835473111,0.05,496375.9724217041,2.552760350154383e+18,0.06360156551871467,0.06371771512024997
jw01287001001_17101_00001_nrs2_s2d.fits,41.99140682345942,41.941406823459424,0.05,515743.6090249125,2.652364153609369e+18,0.0603408259084569,0.06044728490766278
jw01287001003_17101_00002_nrs2_x1d.fits,37.791067506137644,37.74106750613765,0.05,460422.5588667964,2.367859279846938e+18,0.07050427072389968,0.07064202876101089
jw01287001001_13101_00003_nrs2_s2d.fits,32.12458725352036,32.07458725352036,0.05,386255.4045209548,1.9864327374336494e+18,0.08952472969901298,0.08972937987557962
jw01287001001_15101_00001_nrs1_s2d.fits,40.8420567324287,40.792056732428705,0.05,500580.03868267953,2.5743810051753764e+18,0.06286891504550661,0.0629828580108486
jw01287001001_15101_00002_nrs2_x1d.fits,41.22982808163292,41.17982808163292,0.05,505693.87933426123,2.6006804442652175e+18,0.061996695915287954,0.062108033939652946
jw01287001003_17101_00001_nrs1_s2d.fits,42.11803140138325,42.06803140138325,0.05,517415.3212750995,2.660961428631213e+18,0.060072602211728346,0.06017827910924638
jw01287001003_11101_00003_nrs2_s2d.fits,42.14889249048735,42.09889249048735,0.05,517822.7864750616,2.663056939019148e+18,0.060007529237269416,0.06011301673806533
jw01287001001_11101_00002_nrs1_s2d.fits,41.03212888617264,40.982128886172646,0.04999999999999999,503086.3978506113,2.5872706990014633e+18,0.06243886401711461,0.0625515196039264
jw01287001003_13101_00001_nrs2_x1d.fits,42.46007971387161,42.41007971387161,0.049999999999999996,521932.18505588843,2.6841907374762644e+18,0.059357829042888395,0.05946143300994767
jw01287001003_15101_00003_nrs1_x1d.fits,42.6061934420937,42.5561934420937,0.05,523862.15338185604,2.694116170803642e+18,0.05905677463871834,0.0591595104170067
jw01287001003_13101_00002_nrs1_s2d.fits,42.54529474910937,42.49529474910937,0.05,523057.72725341,2.689979171352789e+18,0.05918194337459913,0.05928503976407563
jw01287001001_17101_00003_nrs1_x1d.fits,40.2015028690037,40.1515028690037,0.05,492137.32810110523,2.5309618672277366e+18,0.06435492418612539,0.06447336036054248
jw01287001001_11101_00001_nrs2_x1d.fits,40.45743031250803,40.40743031250803,0.05000000000000001,495509.8166574034,2.5483058877810796e+18,0.06375430052802815,0.06387091226926382
jw01287001001_17101_00003_nrs2_s2d.fits,40.06518077222925,40.01518077222925,0.05000000000000001,490341.33565238665,2.521725444501839e+18,0.06467868424946845,0.06479810854624408
jw01287001001_11101_00001_nrs1_s2d.fits,39.1531983363001,39.1031983363001,0.05,478333.4768645925,2.459971476729821e+18,0.06691573659305765,0.06704207752699286
jw01287001003_13101_00002_nrs2_x1d.fits,41.64550381585171,41.595503815851714,0.05,511178.0927164669,2.6288846347411963e+18,0.06108372613622684,0.06119236330971194
jw01287001003_13101_00001_nrs1_s2d.fits,42.42380715043921,42.37380715043921,0.05,521453.11767420813,2.6817269916768067e+18,0.05943295890242207,0.05953677998493573
jw01287001003_15101_00003_nrs2_s2d.fits,42.52057058560221,42.47057058560221,0.05,522731.1539429955,2.688299671448357e+18,0.059232885719136014,0.05933612901773109
jw01287001001_11101_00002_nrs2_x1d.fits,39.268035311447946,39.21803531144795,0.05,479844.8140780296,2.4677439756591155e+18,0.06662705143405903,0.06675249108032003
jw01287001003_17101_00001_nrs2_x1d.fits,42.58336721595965,42.53336721595965,0.05,523560.63013222563,2.6925654982508375e+18,0.05910363940336179,0.05920651014006213
jw01287001003_11101_00003_nrs1_x1d.fits,41.1185281715895,41.068528171589506,0.05,504225.86104689725,2.59313072573432e+18,0.062244986205718854,0.06235706331897272
jw01287001001_15101_00002_nrs1_s2d.fits,41.9111836772216,41.861183677221604,0.05,514684.60868532286,2.6469179309315963e+18,0.0605117861816374,0.06061874487552258
jw01287001001_13101_00003_nrs1_x1d.fits,41.032124964814436,40.98212496481444,0.05000000000000001,503086.34613683,2.587270433048038e+18,0.062438872839208244,0.06255152845236953
jw01287001001_15101_00001_nrs2_x1d.fits,39.999407830991245,39.94940783099125,0.05,489474.9004548773,2.517269545060556e+18,0.06483585771790697,0.0649557628912524
jw01287001003_17101_00002_nrs1_s2d.fits,35.91560735827998,35.86560735827998,0.049999999999999996,435811.28809014126,2.241288535701041e+18,0.07599418451778078,0.07615016273809565
jw01287001001_17101_00002_nrs2_x1d.fits,42.42613251585709,42.376132515857094,0.05,521483.8292394436,2.681884934990706e+18,0.059428137751721136,0.05953194489630002
jw01287001003_13101_00003_nrs2_s2d.fits,41.89909805122175,41.84909805122175,0.05,514525.07790767465,2.6460974966913516e+18,0.06053761081200262,0.06064464506902181
jw01287001003_15101_00001_nrs1_s2d.fits,42.30178624705265,42.25178624705265,0.05,519841.6668960357,2.673439629110334e+18,0.05968685392045736,0.05979141006651566
jw01287001003_15101_00002_nrs2_x1d.fits,41.32888158998991,41.278881589989915,0.05000000000000001,507000.51891718345,2.607400225045405e+18,0.06177710003588186,0.0618877860122892
jw01287001001_17101_00001_nrs1_s2d.fits,31.200093724225695,31.150093724225695,0.05,374213.51815715485,1.924503772780909e+18,0.09343796197327264,0.0936576574356746
jw01287001001_11101_00003_nrs2_s2d.fits,42.364331910484715,42.31433191048472,0.05000000000000001,520667.6413989847,2.677687447454723e+18,0.059556488390817036,0.059660666851168206
jw01287001003_11101_00002_nrs1_s2d.fits,42.30163723544071,42.25163723544071,0.05,519839.6991210505,2.673429509245072e+18,0.05968716507265327,0.05979172212081126
jw01287001001_13101_00001_nrs2_x1d.fits,39.26803139008974,39.21803139008974,0.05,479844.762466685,2.4677437102325e+18,0.06662706125663571,0.06675250093351941
jw01287001001_15101_00003_nrs1_x1d.fits,41.158306429260655,41.10830642926066,0.05,504750.5061366459,2.595828868387115e+18,0.0621560593791006,0.062267871558620444
jw01287001001_13101_00002_nrs1_s2d.fits,41.9111836772216,41.861183677221604,0.05,514684.60868532286,2.6469179309315963e+18,0.0605117861816374,0.06061874487552258
jw01287001003_17101_00003_nrs1_x1d.fits,41.49921362651022,41.44921362651022,0.05,509247.73648790136,2.6189572065099013e+18,0.06140247984860621,0.061512056989964835
jw01287001003_11101_00001_nrs2_x1d.fits,42.521774442572344,42.47177444257235,0.05,522747.05509968335,2.688381447852876e+18,0.05923040357964,0.05933363971823121
jw01287001003_17101_00003_nrs2_s2d.fits,41.38995282273544,41.33995282273544,0.05,507806.19418829057,2.6115436485821e+18,0.06164234909795146,0.06175263571363818
jw01287001003_11101_00001_nrs1_s2d.fits,39.31145651089518,39.26145651089518,0.05,480416.3209132762,2.4706831187077647e+18,0.06651843278578291,0.06664353398652524
jw01287001001_13101_00002_nrs2_x1d.fits,42.54945138881081,42.49945138881081,0.05,523112.6317501169,2.690261533977142e+18,0.059173386035771866,0.05927645775551029
jw01287001001_13101_00001_nrs1_s2d.fits,42.27999133812754,42.22999133812754,0.05,519553.8571455726,2.6719594822857697e+18,0.05973239254262301,0.05983708074831956
jw01287001001_15101_00003_nrs2_s2d.fits,42.3024254284407,42.2524254284407,0.05,519850.107618502,2.6734830380238106e+18,0.05968551927173839,0.059790071548387225
jw01287001003_11101_00002_nrs2_x1d.fits,29.388288984173226,29.338288984173225,0.05,350668.05359523365,1.803414252540043e+18,0.10198240736958211,0.10223641694609069
jw01287001001_17101_00001_nrs2_x1d.fits,41.92890429496765,41.878904294967654,0.05000000000000001,514918.52526230493,2.648120916160818e+18,0.06047395360582449,0.06058080163962443
jw01287001001_11101_00003_nrs1_x1d.fits,42.21877109377008,42.16877109377008,0.05,518745.4562693481,2.667802041518063e+18,0.05986061499179075,0.059965675392835864
jw01287001003_15101_00002_nrs1_s2d.fits,40.86538097105528,40.81538097105528,0.05,500887.5724104886,2.575962588391131e+18,0.06281587898891201,0.06292966287301455
jw01287001003_13101_00003_nrs1_x1d.fits,41.93348444135565,41.883484441355655,0.05000000000000001,514978.98504685896,2.648431848497118e+18,0.06046418160009076,0.06057100105824764
jw01287001003_15101_00001_nrs2_x1d.fits,41.20030417567805,41.15030417567805,0.05,505304.449105456,2.598677684054252e+18,0.06206239861862968,0.062173932031330426
jw01287001001_17101_00002_nrs1_s2d.fits,40.90551999368166,40.85551999368166,0.05,501416.8300553329,2.5786844524736794e+18,0.0627247815918059,0.06283829243687666
